2021-04-01 00:46:13 status unpacked patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 status half-configured patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 status installed patch:amd64 2.7.5-1+deb9u2
2021-04-01 00:46:13 trigproc systemd:amd64 232-25+deb9u12 <none>
2021-04-01 00:46:13 status half-configured systemd:amd64 232-25+deb9u12
2021-04-01 00:46:13 status installed systemd:amd64 232-25+deb9u12
2021-04-01 00:46:13 configure git:amd64 1:2.11.0-3+deb9u7 <none>
2021-04-01 00:46:13 status unpacked git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 status unpacked git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 status half-configured git:amd64 1:2.11.0-3+deb9u7
2021-04-01 00:46:13 status installed git:amd64 1:2.11.0-3+deb9u7
